"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▼12,Easy Lover (feat. Big Sean),"Ellie Goulding, Big Sean",19,7,3,11,7
▼1,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",22,21,4,8,5
NEW,If U Seek Amy,Britney Spears,23,-,1,7,23
▼4,Te Felicito,"Shakira, Rauw Alejandro",23,19,5,7,3²
▲14,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",25,39,14,6,1
▼7,Pink Venom,BLACKPINK,26,19,2,5,19
RE,I Am The Best,2NE1,27,-,4,4,11
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",28,-,11,3,3
RE,Lush Life,Zara Larsson,28,-,2,3,28
▼25,Lust For Life (with The Weeknd),"Lana Del Rey, The Weeknd",28,3,2,3,3
'=,Renacer,Eva B,28,28,4,3,10
NEW,ALIEN SUPERSTAR,Beyoncé,28,-,1,3,28
▼22,Mujerón,"Ptazeta, Villano Antillano",28,6,2,3,6
NEW,Shut Down,BLACKPINK,28,-,1,3,28
RE,Sacrifice,Bebe Rexha,35,-,8,2,1
RE,Pretty Savage,BLACKPINK,35,-,3,2,8
RE,How You Like That,BLACKPINK,35,-,8,2,2
RE,Lovesick Girls,BLACKPINK,35,-,2,2,7
RE,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",35,-,5,2,4
▲18,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",35,53,4,2,5
RE,7 rings,Ariana Grande,35,-,22,2,11
NEW,Cuando me siento bien,Efecto Pasillo,35,-,1,2,35
▼10,Pacify Her,Melanie Martinez,35,25,3,2,15
RE,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",35,-,7,2,3²
RE,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",35,-,7,2,2
RE,Nessun grado di separazione,Francesca Michielin,35,-,2,2,35
▼3,Llámame,wrs,35,32,5,2,14
▼12,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",35,23,6,2,1
▼2,cuatro veinte,Emilia,35,33,3,2,33
'=,Cool for the Summer - Sped Up (Nightcore),"Demi Lovato, Speed Radio",35,35,6,2,13
RE,Maybe You’re The Problem,Ava Max,35,-,2,2,35
▲10,Andrea,"Bad Bunny, Buscabulla",35,45,5,2,8
'=,Quiero Decirte,"Abraham Mateo, Ana Mena",35,35,5,2,16
NEW,I'm Good (Blue) - Extended,"David Guetta, Bebe Rexha",35,-,1,2,35
NEW,Typa Girl,BLACKPINK,35,-,1,2,35
NEW,Yeah Yeah Yeah,BLACKPINK,35,-,1,2,35
NEW,Hard to Love,BLACKPINK,35,-,1,2,35
NEW,The Happiest Girl,BLACKPINK,35,-,1,2,35
NEW,Tally,BLACKPINK,35,-,1,2,35
NEW,Ready For Love,BLACKPINK,35,-,1,2,35
,,,,,,,
2022-07-18 to 2022-08-21,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Quieres,"Aitana, Emilia, Ptazeta",1,-,1,171,1
NEW,NO MIENTEN - Tiësto Remix,"Becky G, Tiësto",2,-,1,130,2
NEW,Lust For Life (with The Weeknd),"Lana Del Rey, The Weeknd",3,-,1,42,3
NEW,La Corriente,"Marta Sango, Rakky Ripper",4,-,1,37,4
▼4,Hot in It,"Tiësto, Charli XCX",5,1,2,34,1
NEW,Mujerón,"Ptazeta, Villano Antillano",6,-,1,32,6
▲6,Easy Lover (feat. Big Sean),"Ellie Goulding, Big Sean",7,13,2,31,7
▼4,mariposas,"sangiovanni, Aitana",8,4,4,29,4²
NEW,Super Freaky Girl,Nicki Minaj,8,-,1,29,8
▼8,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",10,2,2,28,2
NEW,DESPECHÁ,ROSALÍA,10,-,1,28,10
▲6,Doin' Time,Lana Del Rey,12,18,2,25,12
▼3,AN1MAL,Lola Indigo,13,10,4,22,2
▼11,Antes Que Salga el Sol,"FMK, Lola Indigo",14,3,2,21,3
▼10,Cake,Melanie Martinez,15,5,2,19,5
▼10,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",15,5,3,19,1
▼5,Mezzanotte,Ana Mena,17,12,4,18,6
▼7,Caramello,"Rocco Hunt, Elettra Lamborghini, Lola Indigo",18,11,3,17,7
▼6,Te Felicito,"Shakira, Rauw Alejandro",19,13,4,16,3²
NEW,Pink Venom,BLACKPINK,19,-,1,16,19
NEW,Booty (feat. Latto),"Saucy Santana, Latto",21,-,1,15,21
▼13,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",21,8,3,15,5
▼5,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",23,18,5,14,1
▼6,As It Was,Harry Styles,24,18,5,13,2
▼10,Pacify Her,Melanie Martinez,25,15,2,12,15
▼4,En El Coche,Aitana,26,22,5,11,6
